,survey_info_start_date,survey_info_end_date,survey_info_status,survey_info_ip_address,survey_info_progress,survey_info_duration,survey_info_finished,survey_info_recorded_date,survey_info_response_id,survey_info_last_name,survey_info_first_name,survey_info_email,survey_info_reference,survey_info_latitute,survey_info_longitude,survey_info_dist_channel,survey_info_language,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,inactive_state,inactive_institution_name,inactive_practice_setting,demographic_practice_list,demographic_role_list,demographic_years_in_practice,comments_text,demographic_distribution,quality_ambiguous_text,quality_ambiguous_questions,quality_straightlining_pct,quality_straightlining_questions,quality_unanswered_pct,quality_unanswered_questions,,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size,quality_unanswered_length
11,2023-06-07 23:29:10,2023-06-07 23:33:44,IP Address,67.180.173.92,100,274,True,2023-06-07 23:33:44,R_1eElmoy8b911U0m,,,,,37.747,-122.4389,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Quite well,Slight effort,Slightly well,Moderately true,Moderately true,Often,Almost never,Extremely true,Moderately confident,I am already doing this,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Quite motivated,Quite motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Hepatopancreaticobiliary Surgery']",,25,Save the environment ,ucsf,0,,0,0,,['0.02857142857142857'],QID1,West,9,123,1
12,2023-06-08 02:04:36,2023-06-08 02:25:08,IP Address,81.193.150.46,100,1231,True,2023-06-08 02:25:09,R_2B40qDlGEaL8XCU,,,,,38.6821,-9.162,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Not very well,Slight effort,Slightly well,Quite true,Moderately true,Often,Sometimes,Quite true,Quite confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Not at all willing,I am already doing this,I am already doing this,Quite motivated,Moderately motivated,Quite motivated,Quite motivated,Slightly motivated,Not at all motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Hepatopancreaticobiliary Surgery']",,28,"Lack of knowledge here. 
Maybe a fact sheet with 3 compelling facts, a la 

Did You Know?… the MB OR produces more carbon per year than …. ( the average Prius or whatever)

Placed in the anesthesia and staff lounges, bathroom stalls etc?",ucsf,0,,0,0,,['0.02857142857142857'],QID1,West,9,123,1
13,2023-06-07 16:42:19,2023-06-08 07:45:48,IP Address,128.218.42.136,100,54208,True,2023-06-08 07:45:48,R_2AHyf48UYcC1vyU,,,,,37.7642,-122.3993,anonymous,EN,Moderately critical,Slightly motivated,Moderate priority,Slightly well,Not at a lot of effort,Slightly well,Quite true,Slightly true,Once in a while,Once in a while,Extremely true,Not at all confident,Slightly willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Moderately willing,Slightly willing,Quite willing,Slightly willing,I am already doing this,Extremely motivated,Slightly motivated,Extremely motivated,Not at all motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,11,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
14,2023-06-08 10:17:02,2023-06-08 10:20:58,IP Address,64.54.58.233,100,235,True,2023-06-08 10:20:58,R_1kZCeMij5mbGp10,,,,,37.7703,-122.4407,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Quite well,Slight effort,Slightly well,Moderately true,Moderately true,Often,Almost always,Slightly true,Slightly confident,Quite willing,Quite willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,I am already doing this,Not at all willing,Slightly willing,I am already doing this,Moderately motivated,Moderately motivated,Quite motivated,Extremely motivated,Quite motivated,Moderately motivated,Moderately motivated,Quite motivated,Moderately motivated,,,,"['Hepatopancreaticobiliary Surgery', 'Transplant Surgery']",Program Director (or Assistant Program Director),28,,ucsf,0,,0,0,,['0.02857142857142857'],QID13,West,9,123,1
16,2023-06-08 11:49:35,2023-06-08 11:54:56,IP Address,107.122.81.19,100,320,True,2023-06-08 11:54:56,R_11Z3AaEw8hTtY10,,,,,37.7958,-122.4203,anonymous,EN,Quite critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Quite true,Sometimes,Almost always,Extremely true,Not at all confident,Extremely willing,Extremely willing,Not at all willing,Slightly willing,I am already doing this,I am already doing this,Moderately willing,Not at all willing,I am already doing this,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Trauma Surgery/Critical Care'],,8,"Our operating room carbon footprint is important, but a much lower priority for the majority of us who are working in understaffed divisions and/or can’t get adequate access to the OR. ",ucsf,0,,0,0,,['0.02857142857142857'],QID1,West,9,123,1
17,2023-06-08 14:40:15,2023-06-08 14:44:28,IP Address,128.218.224.38,100,252,True,2023-06-08 14:44:28,R_1Cf0dOpW1htTdBY,,,,,37.7383,-122.4556,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Slight effort,Not very well,Quite true,Moderately true,Often,Often,Moderately true,Not at all confident,Quite willing,Moderately willing,Moderately willing,Extremely willing,Moderately willing,Quite willing,Moderately willing,I am already doing this,Extremely willing,Slightly willing,Not at all motivated,Slightly motivated,Slightly motivated,Extremely motivated,Slightly motivated,Not at all motivated,Not at all motivated,Extremely motivated,Moderately motivated,,,,['Trauma Surgery/Critical Care'],,20,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
18,2023-06-08 13:40:17,2023-06-08 15:58:11,IP Address,206.208.217.34,100,8274,True,2023-06-08 15:58:12,R_saQqkPLD6gCzE2t,,,,,43.5235,-96.7385,anonymous,EN,Quite critical,Quite motivated,Moderate priority,Slightly well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Almost always,Once in a while,Slightly true,Not at all confident,I am already doing this,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Quite motivated,Quite motivated,Not at all motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,['Surgical Oncology'],,10,,und,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,8,11,1
19,2023-06-08 19:00:49,2023-06-08 19:04:37,IP Address,136.25.42.115,100,227,True,2023-06-08 19:04:37,R_3nivVyUGNwAmGgl,,,,,37.7771,-122.406,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Moderately true,Moderately true,Often,Once in a while,Moderately true,Not at all confident,Quite willing,Quite willing,Slightly willing,Quite willing,Quite willing,Quite willing,Moderately willing,Quite willing,Quite willing,I am already doing this,Quite motivated,Moderately motivated,Quite motivated,Moderately motivated,Quite motivated,Moderately motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Breast Surgery'],,9,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
21,2023-06-09 15:16:20,2023-06-09 15:20:39,IP Address,64.54.15.149,100,258,True,2023-06-09 15:20:39,R_b1vT1A6XQQohx8l,,,,,37.7695,-122.385,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Not very well,Slight effort,Not very well,Extremely true,Moderately true,Often,Almost never,Moderately true,Not at all confident,Quite willing,Moderately willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Extremely willing,Moderately willing,I am already doing this,I am already doing this,Not at all motivated,Moderately motivated,Moderately motivated,Quite motivated,Not at all motivated,Slightly motivated,Not at all motivated,Moderately motivated,Not at all motivated,,,,['Colon and Rectal Surgery'],,23,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
22,2023-06-11 09:38:58,2023-06-11 09:42:25,IP Address,173.48.197.184,100,206,True,2023-06-11 09:42:25,R_Ua86DkiyOqbCBSp,,,,,42.3935,-71.1836,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Moderately true,Extremely true,Almost always,Almost never,Extremely true,Not at all confident,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Extremely motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Endocrine Surgery']",,32,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
23,2023-06-11 09:47:26,2023-06-11 09:50:54,IP Address,24.63.203.105,100,208,True,2023-06-11 09:50:55,R_3kH69Vk2aGDnz1m,,,,,42.4567,-71.3747,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Almost always,Often,Quite true,Not at all confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,,,lahey,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",Northeast,1,38,1
24,2023-06-11 10:19:25,2023-06-11 10:24:51,IP Address,72.74.42.28,100,326,True,2023-06-11 10:24:52,R_2cthvSPZIZMn7y6,,,,,42.6508,-71.1607,anonymous,EN,Quite critical,Quite motivated,Moderate priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Moderately true,Often,Often,Moderately true,Slightly confident,Extremely willing,Moderately willing,Extremely willing,Extremely willing,Quite willing,Quite willing,Moderately willing,I am already doing this,Extremely willing,Quite willing,Quite motivated,Quite motivated,Quite motivated,Slightly motivated,Moderately motivated,Slightly motivated,Moderately motivated,Moderately motivated,Quite motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Colon and Rectal Surgery']",,6,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
25,2023-06-12 05:39:56,2023-06-12 05:44:40,IP Address,163.116.144.32,100,284,True,2023-06-12 05:44:41,R_22P4uoBqFw6AaB9,,,,,42.3562,-71.0631,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Moderately well,Not at a lot of effort,Slightly well,Quite true,Quite true,Often,Sometimes,Not at all true,Moderately confident,Extremely willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Moderately willing,Extremely willing,I am already doing this,I am already doing this,Quite willing,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,15,"major barrier is institutional culture, at large, and in each department",lahey,0,,0,0,,['0.02857142857142857'],QID1,Northeast,1,38,1
26,2023-06-12 07:46:00,2023-06-12 07:54:10,IP Address,163.116.144.39,100,489,True,2023-06-12 07:54:10,R_1pMBVv9zqpkRT8o,,,,,42.3562,-71.0631,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Slightly true,Moderately true,Sometimes,Often,Moderately true,Not at all confident,Moderately willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Moderately willing,Quite willing,I am already doing this,I am already doing this,Slightly willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),22,"I think that dedicated recycling programs where there are financial incentives to the hospital are the only thing that would work in our setting.  
my concern about changing practice is that there are so many factors involved in good patient outcome, that doing anything that is perceived as potentially inferior will not be supported.
However, if we can take all the paper/packaging/plastic etc and recycle it, that would not require a significant change in our practice.",lahey,0,,0,0,,['0'],,Northeast,1,38,1
27,2023-06-12 13:01:49,2023-06-12 13:04:23,IP Address,163.116.144.32,100,153,True,2023-06-12 13:04:24,R_PML7XAVKkG0hh4d,,,,,42.3562,-71.0631,anonymous,EN,Quite critical,Moderately motivated,Quite a high priority,Slightly well,Not at a lot of effort,Slightly well,Quite true,Quite true,Often,Sometimes,Extremely true,Moderately confident,Extremely willing,Extremely willing,Quite willing,Quite willing,Extremely willing,Quite willing,Extremely willing,I am already doing this,I am already doing this,Quite willing,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Quite motivated,Moderately motivated,Quite motivated,Quite motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Colon and Rectal Surgery']",,3,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
28,2023-06-12 19:30:10,2023-06-12 19:39:48,IP Address,67.170.229.10,100,577,True,2023-06-12 19:39:48,R_3hlLW31yXVB5CHU,,,,,37.8414,-122.1254,anonymous,EN,Extremely critical,Extremely motivated,Moderate priority,Moderately well,Not at a lot of effort,Slightly well,Moderately true,Moderately true,Often,Almost never,Quite true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Not at all willing,I am already doing this,I am already doing this,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Not at all motivated,Quite motivated,Quite motivated,Quite motivated,,,,"['Breast Surgery', 'Pediatric Surgery', 'Trauma Surgery/Critical Care', 'Other']",,15,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
29,2023-06-13 13:05:06,2023-06-13 13:09:41,IP Address,163.116.144.34,100,274,True,2023-06-13 13:09:41,R_2YtxNvN5s0w2l7N,,,,,42.3562,-71.0631,anonymous,EN,Extremely critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Moderately well,Moderately true,Extremely true,Often,Often,Quite true,Not at all confident,Extremely willing,Extremely willing,Not at all willing,Quite willing,Extremely willing,Extremely willing,Quite willing,I am already doing this,Extremely willing,Not at all willing,Moderately motivated,Moderately motivated,Moderately motivated,Slightly motivated,Moderately motivated,Not at all motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Vascular Surgery'],Department Chair,35,,lahey,0,,0,0,,['0.02857142857142857'],QID13,Northeast,1,38,1
30,2023-06-13 14:07:45,2023-06-13 14:16:33,IP Address,199.172.223.187,100,528,True,2023-06-13 14:16:33,R_12a6fhI3OGX81SR,,,,,32.2952,-64.7846,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Slightly well,Moderately true,Moderately true,Often,Once in a while,Quite true,Moderately confident,Quite willing,Moderately willing,Quite willing,Quite willing,Quite willing,Moderately willing,Quite willing,Not at all willing,Quite willing,Not at all willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Slightly motivated,Quite motivated,Quite motivated,Quite motivated,,,,['Vascular Surgery'],,30,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
31,2023-06-13 14:35:18,2023-06-13 14:42:29,IP Address,163.116.144.39,100,430,True,2023-06-13 14:42:29,R_3PjouE8FUpWk7pt,,,,,42.3562,-71.0631,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Extremely well,Slight effort,Not very well,Quite true,Quite true,Often,Almost always,Extremely true,Quite confident,Extremely willing,I am already doing this,Extremely willing,Extremely willing,I am already doing this,Quite willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,['Colon and Rectal Surgery'],Department Chair,25,,lahey,0,,0,0,,['0.02857142857142857'],QID13,Northeast,1,38,1
32,2023-06-13 16:23:04,2023-06-13 16:25:01,IP Address,107.115.17.13,100,116,True,2023-06-13 16:25:02,R_1Fetqvf0h3BMHy6,,,,,41.5382,-72.8008,anonymous,EN,Quite critical,Extremely motivated,Quite a high priority,Quite well,Quite a bit of effort,Quite well,Moderately true,Quite true,Often,Sometimes,Quite true,Moderately confident,Quite willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Quite willing,Quite willing,Quite willing,Quite willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Moderately motivated,Quite motivated,Quite motivated,,,,['Vascular Surgery'],,12,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
33,2023-06-13 17:28:30,2023-06-13 17:33:03,IP Address,74.104.184.134,100,272,True,2023-06-13 17:33:04,R_1od3OOTbbIE08m3,,,,,42.4571,-71.221,anonymous,EN,Extremely critical,Moderately motivated,Quite a high priority,Slightly well,Not at a lot of effort,Slightly well,Extremely true,Extremely true,Almost always,Often,Moderately true,Quite confident,Moderately willing,Moderately willing,Not at all willing,Not at all willing,I am already doing this,I am already doing this,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Quite motivated,Extremely motivated,Not at all motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,,,,['Vascular Surgery'],,3,,lahey,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,1,38,1
