,survey_info_response_id,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,demographic_distribution_x,demographic_practice_list,demographic_role_list,demographic_years_in_practice,demographic_distribution_y,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size
10,R_1eElmoy8b911U0m,5,5,5,4,2,2,3,3,4,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Hepatopancreaticobiliary Surgery']",,25,ucsf,West,9,123
11,R_2B40qDlGEaL8XCU,3,3,3,1,2,2,4,3,4,3,4,4,5,5,5,5,5,5,5,1,5,5,4,3,4,4,2,1,2,2,2,ucsf,"['Abdominal Wall/Hernia Surgery', 'Hepatopancreaticobiliary Surgery']",,28,ucsf,West,9,123
12,R_2AHyf48UYcC1vyU,3,2,3,2,1,2,4,2,2,2,5,1,2,1,1,1,1,3,2,4,2,5,5,2,5,1,2,1,1,1,2,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,11,ucsf,West,9,123
13,R_1kZCeMij5mbGp10,3,4,3,4,2,2,3,3,4,5,2,2,4,4,5,5,5,5,5,1,2,5,3,3,4,5,4,3,3,4,3,ucsf,"['Hepatopancreaticobiliary Surgery', 'Transplant Surgery']",Program Director (or Assistant Program Director),28,ucsf,West,9,123
14,R_11Z3AaEw8hTtY10,4,3,3,1,1,1,5,4,3,5,5,1,5,5,1,2,5,5,3,1,5,5,5,5,5,5,3,1,1,1,1,ucsf,['Trauma Surgery/Critical Care'],,8,ucsf,West,9,123
15,R_1Cf0dOpW1htTdBY,3,3,3,3,2,1,4,3,4,4,3,1,4,3,3,5,3,4,3,5,5,2,1,2,2,5,2,1,1,5,3,ucsf,['Trauma Surgery/Critical Care'],,20,ucsf,West,9,123
16,R_saQqkPLD6gCzE2t,4,4,3,2,1,1,5,5,5,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,5,5,5,und,['Surgical Oncology'],,10,und,Midwest,8,11
17,R_3nivVyUGNwAmGgl,4,4,4,1,1,1,3,3,4,2,3,1,4,4,2,4,4,4,3,4,4,5,4,3,4,3,4,3,2,2,3,ucsf,['Breast Surgery'],,9,ucsf,West,9,123
18,R_b1vT1A6XQQohx8l,5,5,5,1,2,1,5,3,4,1,3,1,4,3,5,5,5,4,5,3,5,5,1,3,3,4,1,2,1,3,1,ucsf,['Colon and Rectal Surgery'],,23,ucsf,West,9,123
19,R_Ua86DkiyOqbCBSp,5,5,4,1,1,1,3,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Endocrine Surgery']",,32,lahey,Northeast,1,38
20,R_3kH69Vk2aGDnz1m,4,4,4,1,1,1,5,5,5,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,lahey,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,,lahey,Northeast,1,38
21,R_2cthvSPZIZMn7y6,4,4,3,3,1,1,4,3,4,4,3,2,5,3,5,5,4,4,3,5,5,4,4,4,4,2,3,2,3,3,4,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Colon and Rectal Surgery']",,6,lahey,Northeast,1,38
22,R_22P4uoBqFw6AaB9,3,4,3,3,1,2,4,4,4,3,1,3,5,4,5,5,5,3,5,5,5,4,1,1,1,1,1,1,1,1,1,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,15,lahey,Northeast,1,38
23,R_1pMBVv9zqpkRT8o,3,3,3,1,1,1,2,3,3,4,3,1,3,4,5,5,5,3,4,5,5,2,4,4,4,4,3,2,2,2,3,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),22,lahey,Northeast,1,38
24,R_PML7XAVKkG0hh4d,4,3,4,2,1,2,4,4,4,3,5,3,5,5,4,4,5,4,5,5,5,4,5,5,5,3,4,3,4,4,5,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Colon and Rectal Surgery']",,3,lahey,Northeast,1,38
25,R_3hlLW31yXVB5CHU,5,5,3,3,1,2,3,3,4,1,4,5,5,5,5,5,5,5,5,1,5,5,4,4,4,4,4,1,4,4,4,ucsf,"['Breast Surgery', 'Pediatric Surgery', 'Trauma Surgery/Critical Care', 'Other']",,15,ucsf,West,9,123
26,R_2YtxNvN5s0w2l7N,5,3,3,3,1,3,3,5,4,4,4,1,5,5,1,4,5,5,4,5,5,1,3,3,3,2,3,1,2,2,3,lahey,['Vascular Surgery'],Department Chair,35,lahey,Northeast,1,38
27,R_12a6fhI3OGX81SR,4,4,4,1,1,2,3,3,4,2,4,3,4,3,4,4,4,3,4,1,4,1,4,4,4,4,4,2,4,4,4,lahey,['Vascular Surgery'],,30,lahey,Northeast,1,38
28,R_3PjouE8FUpWk7pt,5,5,5,5,2,1,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,lahey,['Colon and Rectal Surgery'],Department Chair,25,lahey,Northeast,1,38
29,R_1Fetqvf0h3BMHy6,4,5,4,4,4,4,3,4,4,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,lahey,['Vascular Surgery'],,12,lahey,Northeast,1,38
30,R_1od3OOTbbIE08m3,5,3,4,2,1,2,5,5,5,4,3,4,3,3,1,1,5,5,5,5,5,5,5,4,5,1,2,1,1,1,2,lahey,['Vascular Surgery'],,3,lahey,Northeast,1,38
31,R_uaW8pwWcqkRvBDz,5,5,4,4,1,1,5,4,3,5,4,4,5,5,5,5,4,5,5,5,5,4,4,4,5,4,2,2,3,3,5,washu,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),20,washu,Midwest,7,99
32,R_6LQTpDF99cMnTgZ,4,5,4,5,2,2,5,4,5,3,3,3,5,5,3,4,5,5,5,5,5,2,5,5,5,5,5,2,4,5,5,lahey,['Vascular Surgery'],"Department Chair,Program Director (or Assistant Program Director)",30,lahey,Northeast,1,38
33,R_3JsVq4SxhJ7N77Q,1,3,1,1,1,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Breast Surgery', 'Endocrine Surgery', 'Surgical Oncology']",,,lahey,Northeast,1,38
34,R_24AfEtMwZ73MYRj,5,5,5,5,1,1,5,4,4,3,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,2,5,5,5,lahey,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,10,lahey,Northeast,1,38
35,R_3Gqcswr53rgE6g6,5,5,5,3,2,2,5,5,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,3,5,3,4,2,3,3,4,washu,['Colon and Rectal Surgery'],,3,washu,Midwest,7,99
36,R_2PC2kfsNSpHfqT6,3,3,3,1,1,1,5,4,3,4,1,2,5,5,3,5,4,4,5,2,5,1,3,2,3,3,3,1,3,3,4,washu,['Cardiac Surgery'],,1,washu,Midwest,7,99
37,R_7PbnGOA09AbAlMZ,4,5,4,1,2,1,4,4,4,4,3,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,washu,['Breast Surgery'],Program Director (or Assistant Program Director),17,washu,Midwest,7,99
38,R_239W2TdvkmwwlO3,2,3,3,3,1,1,4,4,2,5,3,3,4,5,2,2,5,5,5,3,5,5,3,3,4,2,3,3,2,2,2,washu,['Abdominal Wall/Hernia Surgery'],Program Director (or Assistant Program Director),8,washu,Midwest,7,99
39,R_30eodJes6HCqG3p,4,3,4,2,1,2,4,4,3,4,2,4,3,3,4,3,4,4,4,5,5,3,2,3,3,1,3,2,2,2,2,washu,['Trauma Surgery/Critical Care'],,5,washu,Midwest,7,99
40,R_2atzrwARXYyEBaw,3,4,3,2,2,2,4,4,2,2,2,2,3,4,1,3,5,3,3,4,4,1,1,1,1,4,1,1,1,3,1,washu,['Thoracic Surgery'],,,washu,Midwest,7,99
41,R_shxDQuuusF0Td4J,3,4,3,1,1,1,5,5,3,1,1,1,5,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,washu,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),,washu,Midwest,7,99
42,R_2pLzzV1ZoRrDqEu,5,4,3,1,1,1,4,3,4,4,3,4,5,3,3,5,5,5,5,2,1,3,3,3,4,2,4,1,3,4,3,washu,['Trauma Surgery/Critical Care'],,2,washu,Midwest,7,99
43,R_3P77ogJCsXMLrkG,5,4,4,3,1,1,4,5,2,3,2,3,5,5,4,4,5,3,5,5,5,5,3,3,3,4,4,2,3,4,4,washu,['Pediatric Surgery'],,20,washu,Midwest,7,99
44,R_ZsNmilpVTREaUEx,2,2,2,1,1,1,3,3,5,4,5,1,3,3,4,4,4,4,5,5,5,2,3,1,3,1,1,1,1,1,2,washu,['Vascular Surgery'],Program Director (or Assistant Program Director),32,washu,Midwest,7,99
45,R_3GrkOWBpB09cgN4,3,4,3,3,1,1,4,4,3,3,3,3,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,washu,['Trauma Surgery/Critical Care'],,7,washu,Midwest,7,99
46,R_23X2YZ01lZSOLvT,4,2,3,2,1,1,4,3,3,4,4,1,4,3,5,5,2,2,3,2,4,2,4,2,5,1,3,1,2,1,4,washu,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),5,washu,Midwest,7,99
47,R_1ITrvE9yk66ybGy,2,2,2,1,1,1,5,5,4,4,2,1,2,2,2,4,2,1,2,5,5,1,3,2,3,1,1,1,1,1,1,washu,['Vascular Surgery'],,8,washu,Midwest,7,99
48,R_3dXmj7M29TwPkQE,5,4,4,1,2,2,4,4,3,4,4,4,5,5,5,5,5,4,5,5,5,5,4,3,3,3,4,1,1,1,1,washu,['Endocrine Surgery'],,4,washu,Midwest,7,99
49,R_2DMIj31kHmMcbY8,2,4,3,2,3,3,4,4,2,4,1,3,5,5,5,5,4,5,4,5,5,5,3,5,3,5,5,2,3,5,3,washu,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,23,washu,Midwest,7,99
50,R_2xLXZMsqc3X0hfL,5,5,4,3,2,2,3,3,3,4,3,4,5,5,5,5,5,5,3,3,5,5,4,4,4,4,4,1,1,1,1,washu,['Pediatric Surgery'],,5,washu,Midwest,7,99
51,R_1DIuaHXKz9twXg8,3,5,3,3,1,1,4,4,4,4,2,2,5,4,4,4,5,5,5,4,5,4,1,1,1,2,1,1,2,2,4,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery']",,28,washu,Midwest,7,99
52,R_AssUgqlZQVHuQLL,2,4,3,1,1,1,2,3,2,4,2,3,5,5,5,5,5,4,5,3,4,1,2,3,4,3,2,3,3,3,2,washu,['Bariatric/Minimally Invasive Surgery'],Program Director (or Assistant Program Director),26,washu,Midwest,7,99
53,R_262oJgtZVMLIpez,5,5,5,3,2,2,4,4,4,1,5,5,5,5,5,5,5,3,5,1,5,2,5,3,5,3,3,1,1,1,1,ucsf,"['Abdominal Wall/Hernia Surgery', 'Breast Surgery', 'Other']",Program Director (or Assistant Program Director),10,ucsf,West,9,123
54,R_1jHt76D3uTbxJgG,5,5,5,3,1,1,5,3,4,4,3,5,5,5,5,5,5,5,5,1,5,5,3,3,3,3,3,1,1,1,1,ucsf,['Pediatric Surgery'],Program Director (or Assistant Program Director),11,ucsf,West,9,123
55,R_3qeBJ1IW4jlSS3n,4,4,4,1,1,1,4,4,5,1,2,3,4,4,4,4,4,3,4,3,5,5,3,3,3,3,2,2,1,1,1,ucsf,['Hepatopancreaticobiliary Surgery'],Program Director (or Assistant Program Director),46,ucsf,West,9,123
56,R_b90CMdBj6iQqLU5,5,5,4,4,1,1,5,3,3,4,2,5,5,5,3,4,5,5,5,5,5,5,1,2,2,3,2,2,1,2,4,washu,['Endocrine Surgery'],,23,washu,Midwest,7,99
57,R_3Egxk6TdU3acfaa,5,4,4,3,1,1,5,5,5,4,5,3,5,5,5,5,5,5,5,5,4,4,3,3,4,4,3,1,4,4,4,washu,['Thoracic Surgery'],,25,washu,Midwest,7,99
58,R_PCIAHqBPdGfla6t,5,4,4,1,1,1,4,3,1,3,4,4,4,4,3,3,4,3,4,3,5,5,4,4,4,4,3,3,3,3,3,ucsf,['Cardiac Surgery'],,21,ucsf,West,9,123
59,R_5tDgSd6XfVXHefL,4,5,4,3,1,2,4,3,5,2,4,2,4,3,5,5,5,4,2,5,5,5,5,5,5,5,5,3,5,5,5,ucsf,['Endocrine Surgery'],,20,ucsf,West,9,123
60,R_3KotdALI6hAQecj,4,5,4,1,1,1,4,4,4,3,1,3,4,4,4,4,4,4,4,4,5,5,1,2,1,3,2,2,4,3,3,ucsf,['Thoracic Surgery'],Program Director (or Assistant Program Director),5,ucsf,West,9,123
61,R_1hMvjd86HNKG9fZ,5,5,5,5,4,2,4,3,4,5,5,5,5,3,2,2,4,4,5,5,5,5,1,5,1,5,1,5,1,5,1,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Breast Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery', 'Surgical Oncology', 'Thoracic Surgery', 'Trauma Surgery/Critical Care']",Sustainability Director (or Coordinator),40,ucsf,West,9,123
62,R_AA2QAsjxWke1z2x,5,3,3,3,1,1,5,4,4,4,2,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,1,1,5,1,washu,"['Breast Surgery', 'Surgical Oncology']",,20,washu,Midwest,7,99
63,R_2f99mkgC2P2rK8j,4,4,4,1,1,1,1,2,4,4,4,1,5,5,5,5,5,2,5,5,5,1,5,3,4,4,5,3,2,2,2,ucsf,"['Abdominal Wall/Hernia Surgery', 'Other']",,5,ucsf,West,9,123
64,R_2rpiMiAlsPTav2k,2,2,2,1,1,1,2,4,4,4,3,2,3,4,2,2,5,5,5,5,5,5,3,2,4,3,2,1,2,2,3,washu,['Bariatric/Minimally Invasive Surgery'],Program Director (or Assistant Program Director),14,washu,Midwest,7,99
65,R_XtyH5hQvA3GzYop,5,5,4,2,1,3,4,4,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,4,washu,['Bariatric/Minimally Invasive Surgery'],,7,washu,Midwest,7,99
66,R_vHXlARDFRaRQBbj,4,4,4,1,1,1,4,4,3,4,2,4,4,4,5,5,5,3,4,5,5,1,5,5,5,5,2,3,3,4,3,lahey,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),10,lahey,Northeast,1,38
67,R_38fWn4nWrwLvQgp,4,3,3,2,2,2,3,3,3,2,3,3,3,3,4,3,5,3,5,5,5,3,2,2,2,2,2,2,3,3,3,lahey,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,31,lahey,Northeast,1,38
68,R_9nUzzlmxsBmD31L,5,4,4,2,2,2,3,3,4,3,3,1,4,5,4,4,5,4,5,5,3,5,5,5,5,4,5,5,3,3,2,ucsf,['Endocrine Surgery'],Program Director (or Assistant Program Director),16,ucsf,West,9,123
69,R_6lg5NvipUsF30t3,3,2,3,3,1,2,2,4,3,3,4,1,3,5,5,5,5,3,4,5,2,2,5,2,5,3,4,2,2,3,4,washu,['Trauma Surgery/Critical Care'],,1,washu,Midwest,7,99
70,R_0kCFGtdXA2I7U7D,4,4,3,1,1,1,2,4,5,5,4,3,2,4,2,4,4,4,4,5,5,5,2,2,2,2,1,1,1,1,1,washu,['Hepatopancreaticobiliary Surgery'],,20,washu,Midwest,7,99
71,R_xzJ4K6id78A5y2B,2,2,2,3,2,2,5,4,4,3,4,1,5,4,5,3,4,2,3,5,5,1,4,1,4,1,1,1,1,1,1,washu,['Vascular Surgery'],,23,washu,Midwest,7,99
72,R_2P8dQyyYMKqijQE,4,3,4,2,1,1,4,4,5,4,2,2,3,5,4,4,4,2,4,2,4,4,4,2,4,1,1,1,1,2,2,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology']",,2,ucsf,West,9,123
73,R_RDgsBQuNAN6zJh7,5,4,5,2,1,1,4,4,5,1,3,3,4,4,3,4,5,3,3,4,3,5,5,4,5,4,4,3,3,3,3,ucsf,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,3,ucsf,West,9,123
74,R_1DZJ8RKyRh2ysE0,4,4,3,4,1,2,5,4,2,2,5,2,4,4,4,4,4,3,2,5,5,4,3,3,4,3,3,1,2,2,2,und,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,30,und,Midwest,8,11
75,R_2EF4VCSzAejGddJ,4,4,4,3,1,1,4,4,5,1,4,4,3,4,1,1,5,5,5,5,5,3,3,3,3,3,3,3,1,3,3,lehigh,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),21,lehigh,Northeast,3,55
76,R_1l9JWGNAOhwXL8A,5,4,4,1,1,1,2,3,5,4,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,2,2,3,lehigh,['Pediatric Surgery'],,14,lehigh,Northeast,3,55
77,R_1rxAih9TOpteG5G,3,3,4,2,2,3,4,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,lehigh,['Acute Care Surgery/Emergency General Surgery'],,1,lehigh,Northeast,3,55
78,R_2dviQmjAazqFaQo,3,1,3,1,1,1,4,4,5,5,3,1,3,4,2,5,5,1,1,5,5,1,4,4,4,4,3,3,3,2,3,lehigh,['Pediatric Surgery'],,18,lehigh,Northeast,3,55
79,R_2Vlj7rUE9JqtOd2,5,5,5,1,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,1,1,1,1,1,1,lehigh,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,16,lehigh,Northeast,3,55
80,R_1gRvKfCTUXixOEb,3,3,3,3,1,1,4,4,4,3,2,1,3,3,5,5,5,2,1,1,3,5,4,4,5,3,4,3,1,1,1,lehigh,['Vascular Surgery'],,25,lehigh,Northeast,3,55
81,R_XzhJVEHKpVJNZpn,5,3,5,3,1,3,4,4,3,2,4,3,4,2,3,3,4,2,2,1,2,3,2,1,2,1,2,1,1,1,1,lehigh,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Hepatopancreaticobiliary Surgery']",Program Director (or Assistant Program Director),12,lehigh,Northeast,3,55
82,R_1imx1MSykMkrOom,4,5,4,3,2,2,4,3,4,3,4,5,4,3,5,5,4,3,5,5,5,5,4,4,3,3,3,1,1,1,3,lehigh,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Endocrine Surgery']",,11,lehigh,Northeast,3,55
83,R_2cdSJKOOxBslwUk,2,3,3,3,1,2,5,5,3,3,2,2,5,5,3,5,4,3,4,5,4,4,4,2,3,3,2,1,2,2,2,lehigh,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,2,lehigh,Northeast,3,55
84,R_1eWrKoksiLibRej,3,3,3,3,3,3,3,3,3,4,3,3,4,4,5,5,5,5,5,1,5,5,2,3,2,4,3,1,2,2,2,lehigh,['Vascular Surgery'],Program Director (or Assistant Program Director),15,lehigh,Northeast,3,55
85,R_Zt98xiUdY2M5kcN,4,4,4,4,4,4,5,5,4,4,3,2,5,5,3,5,5,5,1,1,5,1,1,1,2,4,1,1,1,1,3,lehigh,"['Acute Care Surgery/Emergency General Surgery', 'Plastics Surgery', 'Trauma Surgery/Critical Care']",,25,lehigh,Northeast,3,55
86,R_SUz7eT5rFdus8pP,5,5,4,1,1,1,4,4,3,3,2,2,3,5,4,4,5,5,4,5,5,3,5,4,5,5,5,1,4,4,4,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery']",,3,washu,Midwest,7,99
87,R_3nkeXM71TuGtXY7,4,4,3,1,1,1,4,3,5,2,4,3,4,4,1,3,5,4,5,4,5,5,5,4,5,4,4,3,4,4,4,lehigh,['Bariatric/Minimally Invasive Surgery'],,17,lehigh,Northeast,3,55
88,R_2EgCuYyTqjW8vx8,3,3,3,1,1,1,3,3,4,3,4,1,3,3,1,3,3,3,3,5,5,5,3,3,3,3,3,3,2,2,2,washu,['Colon and Rectal Surgery'],Program Director (or Assistant Program Director),10,washu,Midwest,7,99
89,R_269eQpqR00ti374,3,5,4,3,2,1,2,2,2,5,2,3,3,2,4,5,5,3,5,3,5,5,2,4,4,3,1,1,3,3,4,washu,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery', 'Endocrine Surgery']",Program Director (or Assistant Program Director),33,washu,Midwest,7,99
90,R_33ds7o7P5V2FTAY,5,4,5,1,1,1,4,4,4,3,3,3,4,4,2,2,5,4,4,5,5,5,4,4,4,4,4,2,2,4,3,washu,['Thoracic Surgery'],,3,washu,Midwest,7,99
91,R_2fByou8nvRRsOrv,5,3,4,2,1,1,4,4,2,5,3,4,3,5,5,5,5,5,5,5,5,5,4,4,4,3,1,1,1,2,3,washu,"['Hepatopancreaticobiliary Surgery', 'Transplant Surgery']",,6,washu,Midwest,7,99
92,R_2P29uuCaobEYRUw,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,washu,['Other'],,,washu,Midwest,7,99
93,R_22VvC1r84TcPmqq,5,5,5,3,2,2,2,2,3,1,2,4,2,4,4,4,5,2,4,4,5,4,5,5,5,5,5,5,5,5,5,washu,['Hepatopancreaticobiliary Surgery'],,1,washu,Midwest,7,99
94,R_2bZBslerj3DMla2,5,5,5,1,1,1,4,4,5,1,5,4,5,5,1,1,5,2,5,5,5,1,2,2,2,2,2,1,2,2,2,washu,['Cardiac Surgery'],,6,washu,Midwest,7,99
95,R_1E4F9YhMSq1l2SF,1,1,1,5,4,5,5,5,4,3,5,1,1,1,5,1,4,1,1,5,5,1,1,1,1,1,1,1,1,1,1,washu,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Sustainability Director (or Coordinator),22,washu,Midwest,7,99
96,R_UhFGPOiFQyiD7lD,3,2,3,1,1,1,5,3,2,1,5,1,5,5,5,5,5,5,4,5,5,5,1,1,1,3,1,1,1,1,1,washu,['Surgical Oncology'],Department Chair,23,washu,Midwest,7,99
