,ID,Question,Numeric,Count_x,Text,QuestionNumber,QuestionSubNumber,Count_y,Count_x,Count_y
138,Q4.4,How motivated would you be in improving the sustainability of your practice if you receive a percentage of the cost savings?,4,,Quite motivated,4,4,62,62,62
139,Q4.4,How motivated would you be in improving the sustainability of your practice if you receive a percentage of the cost savings?,5,,Extremely motivated,4,4,99,99,99
140,Q4.5,How motivated would you be in improving the sustainability of your practice if your division receives additional research funding?,1,,Not at all motivated,4,5,28,28,28
141,Q4.5,How motivated would you be in improving the sustainability of your practice if your division receives additional research funding?,2,,Slightly motivated,4,5,28,28,28
142,Q4.5,How motivated would you be in improving the sustainability of your practice if your division receives additional research funding?,3,,Moderately motivated,4,5,60,60,60
143,Q4.5,How motivated would you be in improving the sustainability of your practice if your division receives additional research funding?,4,,Quite motivated,4,5,58,58,58
144,Q4.5,How motivated would you be in improving the sustainability of your practice if your division receives additional research funding?,5,,Extremely motivated,4,5,61,61,61
145,Q4.5,How motivated would you be in improving the sustainability of your practice if your division receives additional research funding?,,,,4,5,,,
146,Q4.6,How motivated would you be in improving the sustainability of your practice if you receive a perk (such as free professional membership)?,1,,Not at all motivated,4,6,39,39,39
147,Q4.6,How motivated would you be in improving the sustainability of your practice if you receive a perk (such as free professional membership)?,2,,Slightly motivated,4,6,40,40,40
148,Q4.6,How motivated would you be in improving the sustainability of your practice if you receive a perk (such as free professional membership)?,3,,Moderately motivated,4,6,53,53,53
149,Q4.6,How motivated would you be in improving the sustainability of your practice if you receive a perk (such as free professional membership)?,4,,Quite motivated,4,6,49,49,49
150,Q4.6,How motivated would you be in improving the sustainability of your practice if you receive a perk (such as free professional membership)?,5,,Extremely motivated,4,6,55,55,55
151,Q4.7,How motivated would you be in improving the sustainability of your practice if your division receives a perk (such as a pizza party)?,1,,Not at all motivated,4,7,94,94,94
152,Q4.7,How motivated would you be in improving the sustainability of your practice if your division receives a perk (such as a pizza party)?,2,,Slightly motivated,4,7,66,66,66
153,Q4.7,How motivated would you be in improving the sustainability of your practice if your division receives a perk (such as a pizza party)?,3,,Moderately motivated,4,7,37,37,37
154,Q4.7,How motivated would you be in improving the sustainability of your practice if your division receives a perk (such as a pizza party)?,4,,Quite motivated,4,7,17,17,17
155,Q4.7,How motivated would you be in improving the sustainability of your practice if your division receives a perk (such as a pizza party)?,5,,Extremely motivated,4,7,22,22,22
156,Q4.8,How motivated would you be in improving the sustainability of your practice if you receive personal recognition from your department?,1,,Not at all motivated,4,8,74,74,74
157,Q4.8,How motivated would you be in improving the sustainability of your practice if you receive personal recognition from your department?,2,,Slightly motivated,4,8,53,53,53
158,Q4.8,How motivated would you be in improving the sustainability of your practice if you receive personal recognition from your department?,3,,Moderately motivated,4,8,55,55,55
159,Q4.8,How motivated would you be in improving the sustainability of your practice if you receive personal recognition from your department?,4,,Quite motivated,4,8,33,33,33
160,Q4.8,How motivated would you be in improving the sustainability of your practice if you receive personal recognition from your department?,5,,Extremely motivated,4,8,21,21,21
161,Q4.9,How motivated would you be in improving the sustainability of your practice if your division/group receives recognition from your department?,1,,Not at all motivated,4,9,55,55,55
162,Q4.9,How motivated would you be in improving the sustainability of your practice if your division/group receives recognition from your department?,2,,Slightly motivated,4,9,59,59,59
163,Q4.9,How motivated would you be in improving the sustainability of your practice if your division/group receives recognition from your department?,3,,Moderately motivated,4,9,54,54,54
164,Q4.9,How motivated would you be in improving the sustainability of your practice if your division/group receives recognition from your department?,4,,Quite motivated,4,9,37,37,37
165,Q4.9,How motivated would you be in improving the sustainability of your practice if your division/group receives recognition from your department?,5,,Extremely motivated,4,9,31,31,31
166,Q4.10,How motivated would you be in improving the sustainability of your practice if you receive national recognition?,1,,Not at all motivated,4,10,57,57,57
167,Q4.10,How motivated would you be in improving the sustainability of your practice if you receive national recognition?,2,,Slightly motivated,4,10,45,45,45
168,Q4.10,How motivated would you be in improving the sustainability of your practice if you receive national recognition?,3,,Moderately motivated,4,10,57,57,57
169,Q4.10,How motivated would you be in improving the sustainability of your practice if you receive national recognition?,4,,Quite motivated,4,10,40,40,40
170,Q4.10,How motivated would you be in improving the sustainability of your practice if you receive national recognition?,5,,Extremely motivated,4,10,37,37,37
